"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Northstar Männer Docking Station & Schreibtisch Organizer Holz mit Handyständer Schwarz für Büro Aufbewahrung & Organisation Geschenke aus Holz für Männer Herren Geschenke zu Geburtstag Valentinstag COG: 6,12 / Price: 34,4";"B09FSZYGB4";"PP0007";"11";"";"328,24";"";"-72,93";"-72,93";"";"";"";"";"";"";"-";"";"-100,01";"-67,32";"-52,57";"-3,35";"32,06";"32,06";"151,95";"";"9,77";"47,62";"42 535";"22,22";"320";"3,44";"29,84"
"Northstar Gewehrhalterung | Waffenhalter Wand | Waffenständer | Waffen zubehör | Waffen Halterung | Schrotflinten | Massives Naturholz mit Metallhaken COG: 6,27 / Price: 27,99";"B0BTTHD99C";"AR0008";"10";"";"295,82";"-9,8";"";"";"";"";"";"";"";"";"-";"";"-73,92";"-62,7";"-45,91";"-12,97";"90,52";"90,52";"199,13";"";"30,60";"144,37";"102 947";"";"49";"20,41";"29,58"
"Northstar Holz Handyhalter & Dockingstation - Organizer für Brieftasche Schlüssel & Uhr Valentinstag Geschenkideen für Männer Jahrestagsgeschenk Geburtstagsgeschenk für Männer Vatertagsgeschenk für Papa COG: 6,36 / Price: 29,65";"B09PNKKS78";"PP0001GS";"10";"";"301,49";"";"-66,02";"-66,02";"";"";"";"";"";"";"-";"";"-91,85";"-82,69";"-48,52";"";"9,94";"9,94";"122,06";"";"3,30";"12,02";"30 780";"21,90";"205";"4,88";"30,15"
"Northstar Telefon-Dockingstation aus Holz mit Schublade – Nachttisch-Organizer – Schreibtisch-Organisator für Ehemann – Geburtstagsgeschenke für Männer, Papa, Geburtstagsidee, Schlüsselanhänger COG: 10,62 / Price: 41,8";"B0F2TDHQ83";"PPD006";"9";"";"360,55";"";"-27,36";"-27,36";"";"";"";"";"";"";"-";"";"-91,38";"-95,58";"-54,47";"-3,30";"88,46";"88,46";"238,51";"";"24,53";"92,55";"118 781";"7,59";"149";"6,04";"40,06"
"Northstar 2er Set Holz Waffenhalterung Wand Braun Gewehr Wandhalterung 17x12x4,5 cm - Gewehrhalter Wand, Waffenhalter Langwaffen, Gewehr Halterung aus Hartholz für Waffenlagerung und Ausstellung COG: 4,48 / Price: 26,8";"B09J8W13DK";"UG-Y4LX-G244";"9";"";"223,2";"-3,72";"";"";"";"";"";"";"";"";"-";"";"-61,17";"-40,32";"-35,04";"";"82,95";"82,95";"158,31";"";"37,16";"205,73";"102 401";"";"51";"17,65";"24,80"
"Northstar Holz Gewehrhalter Wandhalterung, Wenge Hartholz, Wandhalterung 17x12x4,5 cm Kaffee - Waffenaufbewahrung & Ausstellung COG: 4,48 / Price: 23,99";"B0B6WC5SST";"Y4-OT79-ACBA";"6";"";"146,93";"";"-39,4";"-39,4";"";"";"";"";"";"";"-";"";"-41,31";"-26,88";"-23,46";"-3,32";"12,56";"12,56";"62,9";"";"8,55";"46,73";"102 401";"26,82";"87";"6,90";"24,49"
"Holzsteakbrett 30 x 20 Massiv Eiche Servier Grillplatte Naturdicke Schneidplatte - Langlebig & Qualität (Small) COG: 8,85 / Price: 18,59";"B07QS323RP";"5L-OS15-NL0S";"4";"";"68,56";"";"";"";"";"";"";"";"";"";"-";"";"-21,31";"-35,4";"-10,96";"";"0,89";"0,89";"47,25";"";"1,30";"2,51";"135 353";"";"9";"44,44";"17,14"
"Northstar Handy-Dockingstation aus Holz mit Schublade, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer, Vater, Jahrestagsidee, Schlüsselhalter, Ständer, Uhr und COG: 10,62 / Price: 41,8";"B0F2T8BPK5";"PPD005";"3";"1";"141,98";"";"-24,52";"-24,52";"";"";"";"";"";"33,33";"-";"-25,28";"-29,43";"-31,86";"-18,78";"-14,22";"-2,11";"-2,11";"37,91";"";"-1,49";"-6,62";"118 781";"17,27";"117";"2,56";"47,33"
"Northstar Handy-Dockingstation aus Holz mit Schublade, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer, Vater, Jahrestagsidee, Schlüsselhalter, Ständer, Uhr und COG: 10,62 / Price: 40,8";"B0F2T5SPFZ";"PPD004";"2";"";"78,6";"";"-11,85";"-11,85";"";"";"";"";"";"";"-";"";"-20,16";"-21,24";"-12,55";"";"12,80";"12,80";"46,59";"";"16,28";"60,26";"118 781";"15,08";"102";"1,96";"39,30"
"Holz Telefon Dockingstation Asche Baum mit Schlüsselanhänger Männer Geschenk Ehemann Frau Jubiläum Vater Geburtstag Nachttisch Geldbörse Vater Abschluss Männliche Reise Idee Gadgets (Wenge) COG: 14,05 / Price: 32,8";"B0881MZGCF";"CJ-HT4E-OKZV";"1";"";"39,73";"";"";"";"";"";"";"";"";"";"-";"";"-8,15";"-14,05";"-7,43";"-4,86";"5,24";"5,24";"26,72";"";"13,19";"37,30";"161 865";"";"28";"3,57";"39,73"
"Northstar Handy-Dockingstation aus Holz, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer oder Vater, Idee für Jahrestag, Vatertagsgeschenk für Papa COG: 0 / Price: 40,86";"B0DHH7P6QQ";"G4-DZI9-VU2J";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"19 218";"";"32";"";""
"Northstar Wikinger Tasse 0,6L – Holz Bierkrug mit Baum des Lebens Gravur – Bier Geschenk, Wikinger Kelch, Mittelalter Becher, Bierkrüge, Geschenk für Bierliebhaber, Vatertagsgeschenk (Wolfspfoten Braun) COG: 0 / Price: 0";"";"B0CN6XQ611";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1,1";"";"";"";"-1,10";"-1,10";"-1,1";"";"";"";"";"";"";"";""
"Northstar Holz Telefon Dockingstation Männer - Schreibtisch Organizer Holz, Handy & Schlüssel Organizer,Weihnachten Männer Geschenke Geburtstag, Nachttisch, Schreibtisch Organizer, Telefontisch COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"30 780";"";"5";"";""
"Spachtel-Set, Walnussholz, Spurtle, Zubehör, Holzlöffel zum Kochen, Küchenutensilien zum Rühren, Mischen, Servieren COG: 8,21 / Price: 20";"B08YMTSV1B";"KU0002";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"13,81";"-8,21";"";"";"5,60";"5,60";"5,6";"";"";"68,21";"";"";"";"";""
"MyFancyCraft Bierkrug aus Holz, 284 ml, Kaffeebecher, Bierkrug aus Holz, handgefertigt, Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, klassisch, Braun, 6 Stück COG: 31,8 / Price: 138,8";"B07C779YC5";"S9-ZHU4-EDM5";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-4,21";"";"";"";"-4,21";"-4,21";"-4,21";"";"";"";"";"";"40";"";""
"Northstar Handy-Dockingstation aus Holz für Männer – Schreibtischzubehör & Arbeitsplatz-Organizer – Nachttisch-Organizer – Geburtstagsgeschenk für Männer oder Väter – Idee für Jahrestag COG: 0 / Price: 0";"";"B0DHD2SW1K";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1,08";"";"";"";"-1,08";"-1,08";"-1,08";"";"";"";"";"";"";"";""
"Northstar Mittelgroßes Schneidebrett aus Massivholz für die Küche, mit seitlichen Griffen und integrierter Saftrille, 39,9 x 24,9 cm, Schneidebrett aus Walnuss, Kirsche, Esche und Roteiche COG: 0 / Price: 28";"B0F2N94VDS";"SSB001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,01";"";"";"";"-0,01";"-0,01";"-0,01";"";"";"";"";"";"";"";""
"Northstar Gun Rack Wall Mount Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store All Rifle Shotgun Real Hardwood Tree Metal Hooks (Wenge) COG: 5,85 / Price: 32,8";"B09QMK4HZF";"ARM001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"102 947";"";"62";"";""
"Northstar Handy-Dockingstation aus Holz für Männer – Schreibtischzubehör & Arbeitsplatz-Organizer – Nachttisch-Organizer – Geburtstagsgeschenk für Männer oder Väter – Idee für Jahrestag COG: 6,64 / Price: 26,8";"B0DHD2SW1K";"PPCH11";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"2,58";"";"";"";"2,58";"2,58";"2,58";"";"";"";"";"";"";"";""
"Holz Telefon Dockingstation Asche Baum mit Schlüsselanhänger Männer Geschenk Ehemann Frau Jubiläum Vater Geburtstag Nachttisch Geldbörse Vater Abschluss Männliche Reise Idee Gadgets (Bernstein) COG: 6,67 / Price: 39,8";"B09Y8V6TFB";"PPH001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,05";"";"";"";"-0,05";"-0,05";"-0,05";"";"";"";"";"";"";"";""
"Northstar Handy-Dockingstation aus Holz Schlüsselhalter Geldbörse Ständer Uhren-Organizer Herren Weihnachten Geschenk Ehemann Ehefrau Jahrestag Vater Geburtstag Nachttisch Geldbörse Vater Abschluss COG: 0 / Price: 36,8";"B0842M4Y73";"09-TX8N-URPM";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1,33";"";"";"";"-1,33";"-1,33";"-1,33";"";"";"";"";"";"";"";""
"Northstar Wikinger Becher mit Drachengriff - Bier Geschenk 0,6 L Eichenholz Braun - Mittelalter Maßkrug Liebhaber - Bierkrug, Trinkbecher | Bier Geschenke für Männer (Drachen) COG: 7,86 / Price: 26,02";"B0CN6XGNHR";"BM0007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,04";"";"";"";"-0,04";"-0,04";"-0,04";"";"";"";"";"";"";"";""
"Northstar Holz Doppelte Telefon Dockingstation Nussbaum Geldbörsenständer Schlüsselhalter & Uhren Organisator Herren Weihnachten Geschenk Ehemann Ehefrau Vater Geburtstag Vater Mann Gadgets (Bronze) COG: 0 / Price: 24,8";"B084G88WDC";"FW-DHFX-U2R4";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,01";"";"";"";"-0,01";"-0,01";"-0,01";"";"";"";"";"";"14";"";""
"Steakbrett - Holzsteakbrett 35 x 25 - Holz Schneidebrett - Massiv Eiche Servierbrett - ​​Servierplatte - Holzbrett - Langlebig & Qualität COG: 0 / Price: 24,8";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2,94";"";"";"";"-2,94";"-2,94";"-2,94";"";"";"";"";"";"7";"";""
"Holz Telefon Dockingstation Asche Baum Geldbörsenständer Schlüsselhalter & Uhren Organisator Herren Weihnachten Geschenk Ehemann Geburtstag Gadgets Kompatibel mit iPhone iWatch AirPods COG: 0 / Price: 26,8";"B07XC1BT6Z";"OR-9X9F-DHJQ";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,11";"";"";"";"-0,11";"-0,11";"-0,11";"";"";"";"";"";"";"";""
"Northstar Holz Handy-Ständer 3 in 1 für Apple | Kompatibel mit magnetischem kabellosem Ladegerät für iPhones 12, 13, 14 | IWatch, AirPods | Herren Geschenk | Asche Baum | Ladegeräte Nicht enthalten COG: 11,6 / Price: 16,8";"B0BX49HKC2";"PPMG03";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,42";"";"";"";"-0,42";"-0,42";"-0,42";"";"";"";"";"";"";"";""
"MyFancyCraft Bierkrug, Holz-Bierkrug, Edelstahlbecher, Handgefertigte Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, Braun, 6 Stück COG: 50 / Price: 135,05";"B01M2ZSZNF";"KO-AAPH-S3H1";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-3,51";"";"";"";"-3,51";"-3,51";"-3,51";"";"";"";"";"";"33";"";""
"MyFancyCraft Bierkrug, Holz-Bierkrug, Edelstahlbecher, Handgefertigte Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, Retro-Braun, 6 Stück COG: 39 / Price: 159,8";"B06X9LNZPJ";"OO-A269-AGEC";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-3,5";"";"";"";"-3,50";"-3,50";"-3,5";"";"";"";"";"";"33";"";""
"Northstar Handy-Dockingstation aus Holz mit Schublade, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer oder Vater, Jahrestagsidee, Schlüsselhalter, Ständer, Uhr COG: 9,51 / Price: 39,8";"B0DQQCZGLP";"PPD007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"19";"";""
"Northstar Handy-Dockingstation aus Holz Schlüsselhalter Geldbörse Ständer Uhren-Organizer Herren Weihnachten Geschenk Ehemann Ehefrau Jahrestag Vater Geburtstag Nachttisch Geldbörse Vater Abschluss COG: 0 / Price: 0";"";"X0014YALZN";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"0,79";"";"";"";"0,79";"0,79";"0,79";"";"";"";"";"";"";"";""
"Northstar Surfbrett-Halterung, Haken, Eschenholz, umweltfreundlich, natürliches Finish, Snowboard, Wakeboard, Braun, groß COG: 13,52 / Price: 25";"B0BX49F4HG";"AS0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";""
"Northstar Wikinger krug für Bier Mjölnir 0,6 Liter | Bierkrug für Männer | Becher | Maßkrug | Bier Geschenk | Geschenkideen für Männer, Geschenk Vatertag (4 Thors Hammer) COG: 30,68 / Price: 109,99";"B0G4WCNZXS";"BM0017";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";""
"Northstar Wikinger krug für Bier 0,6 Liter | Bierkrug für Männer | Becher | Maßkrug | Bier Geschenk | Geschenkideen für Männer, Geschenk Vatertag (4 Stück Wikinger Braun) COG: 30,68 / Price: 109,99";"B0G498383C";"BM0024";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"14";"";""
"Northstar Holz Telefon Dockingstation & Schreibtisch Organizer mit Handyständer Beige für Büro Aufbewahrung & Organisation Tolle Geschenkideen für Männer Holz Männer Väter COG: 0 / Price: 0";"B08YJ5Y672";"1Y-IVSW-1PQL";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-14,45";"";"";"";"-14,45";"-14,45";"-14,45";"";"";"";"19 218";"";"";"";""
"Northstar Handy Dockingstation & Schreibtisch Organizer Holz mit Handyständer Braun für Büro Aufbewahrung Organisation Schöne Männer Geschenke Geburtstag Herren Weihnachten Vatertagsgeschenk für Papa COG: 0 / Price: 0";"B08YJR9HDL";"5J-6BF0-VBXR";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-2,73";"";"";"";"-2,73";"-2,73";"-2,73";"";"";"";"19 218";"";"";"";""
"Northstar Holz Telefon Dockingstation Männer Schwarz - Schreibtisch Organizer Holz Handy Schlüssel Organizer Geschenk Mann Männer Geburtstag Handyständer Nachttisch Handy Zubehör COG: 0 / Price: 0";"B08YJLRHKX";"8L-I8PN-5C7D";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-5,15";"";"";"";"-5,15";"-5,15";"-5,15";"";"";"";"30 780";"";"";"";""
"Northstar 2er Set Holz Waffenhalterung Wand Braun Gewehr Wandhalterung 17x12x4,5 cm - Gewehrhalter Wand, Waffenhalter Langwaffen, Gewehr Halterung aus Hartholz für Waffenlagerung und Ausstellung COG: 10,14 / Price: 32,8";"B09J8W13DK";"EG-RY08-XTU8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"102 401";"";"";"";""
"Northstar Holz Gewehrhalter Wandhalterung, Wenge Hartholz, Wandhalterung 17x12x4,5 cm Kaffee - Waffenaufbewahrung & Ausstellung COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"102 401";"";"9";"";""
"Northstar 2er Set Holz Waffenhalterung Wand Braun Gewehr Wandhalterung 17x12x4,5 cm - Gewehrhalter Wand, Waffenhalter Langwaffen, Gewehr Halterung aus Hartholz für Waffenlagerung und Ausstellung COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"102 401";"";"";"";""
"Amazon.es";"";"";"470";"18";"14 597,62";"";"-2 290,75";"-2 198,72";"";"-92,03";"";"";"";"3,83";"16,67";"-456,99";"-4 287,23";"-3 118,94";"-2 388,07";"-70,15";"1 960,79";"1 821,44";"7 452,72";"-139,35";"12,48";"58,40";"194 862";"15,69";"11 428";"4,11";"31,06"
"Northstar Regalos Originales para Hombre – Organizador de Escritorio en Madera con Soporte para Móvil y Reloj, Docking Station, Ideas Regalo Hombre Cumpleaños, Navidad, Día del Padre – Negro COG: 6,12 / Price: 30,49";"B08YJLRHKX";"PP0004";"56";"6";"1 658,25";"";"-616,38";"-616,38";"";"";"";"";"";"10,71";"25";"-135,19";"-492,27";"-342,72";"-253,40";"-17,12";"-201,30";"-201,30";"376,56";"";"-12,14";"-58,74";"";"37,17";"1 570";"3,57";"29,61"
"Northstar Regalos Originales para Hombre – Organizador de Escritorio en Madera con Soporte para Móvil y Reloj, Docking Station, Ideas Regalo Hombre Cumpleaños, Navidad, Día del Padre – Marrón Claro COG: 6,12 / Price: 30,49";"B0FGJXKQFB";"PP0013";"42";"2";"1 330,09";"";"-259,77";"-198,38";"";"-61,39";"";"";"";"4,76";"66,67";"-48,24";"-392,06";"-257,04";"-221,36";"";"146,68";"146,68";"618,96";"";"11,03";"57,07";"186";"19,53";"1 148";"3,66";"31,67"
"Northstar Jarra de cerveza Vikinga de madera natural y de acero inoxidable para hombre 0.6 litros regalos para un padre auténtico recuerdo Aniversario Día Regalo Padre dia del Padre Regalos Marrón COG: 7,44 / Price: 35,8";"B0BRSMB6M9";"BMT003";"36";"";"1 207,97";"";"-126,26";"-126,26";"";"";"";"";"";"";"-";"";"-323,35";"-267,84";"-210,13";"-5,50";"272,42";"272,42";"750,39";"";"22,55";"101,71";"18 310";"10,45";"685";"5,26";"33,55"
"Northstar Soporte de Carga para teléfonos móviles Llaves Carteras y Relojes Hombres Seres Queridos ya Sea por su Aniversariodía Festivo Regalo Padre Dia del Padre Regalos (Beige) COG: 6,12 / Price: 34,22";"B08YJ5Y672";"PP0006";"36";"";"1 252,03";"";"-215,2";"-215,2";"";"";"";"";"";"";"-";"";"-344,17";"-220,32";"-219,33";"-7,42";"243,12";"243,12";"682,77";"";"19,42";"110,35";"8 083";"17,19";"1 638";"2,20";"34,78"
"Northstar Soporte de Carga para teléfonos móviles con Gancho Llaves Carteras y Relojes Hombres Seres Queridos ya Sea por su Aniversariodía Festivo Regalo Padre Dia del Padre Regalos (Marrón) COG: 6,12 / Price: 33,8";"B08YJR9HDL";"PP0005";"29";"";"976,53";"";"-113,09";"-113,09";"";"";"";"";"";"";"";"-6,12";"-265,7";"-177,48";"-166,56";"";"247,58";"247,58";"597,74";"";"25,35";"139,50";"8 083";"11,58";"827";"3,51";"33,67"
"Tabla de Madera para Filetes de 35 x 25 Plato para Barbacoa de Roble Sólido - Plato de Corte Natural Grueso - Durabilidad y Calidad (Large) COG: 4,73 / Price: 25,8";"B08YKGCV8F";"KB0002";"25";"1";"690,26";"";"-16,64";"-16,64";"";"";"";"";"";"4,00";"";"-25,25";"-203,64";"-118,25";"-111,45";"-1,64";"213,39";"213,39";"443,09";"";"30,91";"180,46";"142 610";"2,41";"134";"18,66";"27,61"
"MyFancyCraftLUKRA - Taza de cerveza de madera de roble hecha a mano (0,6 litros, 20 onzas, acero inoxidable, color marrón COG: 6,54 / Price: 26,41";"B01LNOBGRM";"3I-GOR9-I5Y7";"23";"2";"681,37";"";"-146,16";"-146,16";"";"";"";"";"";"8,70";"";"-45,15";"-206,68";"-163,3";"-107,71";"-6,18";"3,72";"3,72";"267,63";"";"0,55";"2,28";"39 986";"21,45";"583";"3,95";"29,62"
"Northstar Soporte de Carga para teléfonos móviles Llaves Carteras y Relojes Hombres Seres Queridos ya Sea por su Aniversariodía Festivo Regalo Padre Dia del Padre Regalos (Negro) COG: 6,12 / Price: 33,8";"B09FSZYGB4";"PP0007";"23";"";"757,49";"";"-158,79";"-144,04";"";"-14,75";"";"";"";"";"";"-6,12";"-234,55";"-140,76";"-127,60";"-7,42";"82,25";"82,25";"356,73";"";"10,86";"58,43";"8 083";"20,96";"712";"3,23";"32,93"
"Northstar Soporte para armas Montaje en pared Exhibidores de sujeción Soporte horizontal para armas y ganchos de escopeta Almacene cualquier rifle Escopeta Madera dura (Marrón) COG: 4,48 / Price: 24,8";"B09J8W13DK";"UG-Y4LX-G244";"22";"";"476,94";"";"-4,28";"-4,28";"";"";"";"";"";"";"-";"";"-160,36";"-98,56";"-55,79";"";"157,95";"157,95";"312,3";"";"33,12";"160,26";"14 842";"0,90";"69";"31,88";"21,68"
"Northstar 0.6 Taza vikinga | Regalo Vikingo | Regalos vikingos para hombre | Jarra Cerveza | Regalos Hombre Navidad | Jarra de cerveza vikinga | Productos vikingos | Regalo Dia Del Padre COG: 7,59 / Price: 32,8";"B0CN1J44VC";"BM0010";"17";"1";"555,79";"";"-83,68";"-83,68";"";"";"";"";"";"5,88";"";"-30,94";"-171,09";"-129,03";"-87,11";"-4,12";"47,35";"47,35";"264,79";"";"8,52";"36,70";"18 310";"15,06";"481";"3,53";"32,69"
"Regalos para Hombres, estación de Acoplamiento de teléfono de Madera, Soporte para Llaves, Soporte para Cartera, Organizador de Relojes, Regalo para Hombre, Marido, Esposa, Aniversario, Regalo de COG: 6,36 / Price: 28,97";"B09PNKKS78";"PP0001GS";"17";"";"508,66";"";"-103,69";"-103,69";"";"";"";"";"";"";"";"-6,36";"-154,6";"-108,12";"-88,25";"-2,91";"44,73";"44,73";"247,46";"";"8,79";"41,37";"";"20,38";"840";"2,02";"29,92"
"Northstar 0.6 Taza vikinga | Regalo Vikingo | Regalos vikingos para hombre | Jarra de cerveza | regalo hombre navidad | regalo hombre | una Señal | Recuerdo Retro | Hacha Vikinga COG: 6,98 / Price: 33,8";"B0CP2KD382";"BMP0011";"16";"1";"520,79";"";"-41,3";"-41,3";"";"";"";"";"";"6,25";"";"-29,64";"-160,67";"-111,68";"-84,54";"-3,27";"89,69";"89,69";"285,91";"";"17,22";"80,31";"18 310";"7,93";"296";"5,41";"32,55"
"Northstar Soporte de Carga para teléfonos móviles ceniceros Llaves Carteras y Relojes Hombres Seres Queridos ya Sea por su Aniversariodía Festivo o Solo como un Presente (Marrón) COG: 12,78 / Price: 30,49";"B07VC6GXYT";"SQ-H3G9-2L92";"16";"";"475,81";"";"-16,15";"-16,15";"";"";"";"";"";"";"-";"";"-139,71";"-204,48";"-83,42";"";"29,58";"29,58";"317,48";"";"6,22";"14,47";"";"3,39";"229";"6,99";"29,74"
"Northstar 0.6 Taza Vikinga Regalo Hombre Original Jarra de Cerveza Regalos Vikingos Hombre Vikingos Accesorios Vaso de Cerveza Ideas Regalo Padre Jarra de Cerveza Vikinga COG: 7,01 / Price: 32,8";"B0CP2C594Q";"BMP0010";"14";"2";"463,74";"";"-50,68";"-50,68";"";"";"";"";"";"14,29";"";"-58,4";"-138,19";"-98,14";"-69,36";"-3,30";"45,67";"45,67";"213,17";"";"9,85";"46,54";"45 078";"10,93";"208";"6,73";"33,12"
"Tabla de Madera para Filetes de 30 x 20 Plato para Barbacoa de Roble Sólido - Plato de Corte Natural Grueso - Durabilidad y Calidad (Medium) COG: 3,5 / Price: 19,99";"B0B1DMS4YK";"KB0001";"12";"1";"268,54";"";"-12,62";"-12,62";"";"";"";"";"";"8,33";"-";"-16,66";"-94,08";"-42";"-42,62";"-1,37";"59,19";"59,19";"140,31";"";"22,04";"140,93";"142 610";"4,70";"95";"12,63";"22,38"
"Jarra de cerveza hecha a mano de madera natural y acero inoxidable para hombre, regalo ecológico, recuerdo retro, color marrón COG: 6,59 / Price: 28,8";"B01LYB4PKO";"69-YT0R-2WCS";"11";"1";"331,81";"";"-26,06";"-26,06";"";"";"";"";"";"9,09";"";"-27,01";"-94,41";"-78,1";"-52,23";"-4,12";"44,94";"44,94";"175,27";"";"13,54";"57,54";"119 102";"7,85";"175";"6,29";"30,16"
"Tabla de Madera para Filetes de 40 x 30 Plato para Barbacoa de Roble Sólido - Plato de Corte Natural Grueso - Durabilidad y Calidad (XLarge) COG: 6 / Price: 23,74";"B09RX2WX88";"KB0003";"11";"";"329,73";"";"-12,33";"-12,33";"";"";"";"";"";"";"-";"";"-108,38";"-66";"-57,23";"";"85,79";"85,79";"209,02";"";"26,02";"129,98";"142 610";"3,74";"107";"10,28";"29,98"
"Northstar Jarra Madera 0.6 Cerveza Regalo Regalos Hombre Navidad Jarra Vikinga Jarra Cerveza Jarras Cerveza Jarra de Cerveza Original Hombre Regalo Original Padre dia del Padre Regalos COG: 7,01 / Price: 32,8";"B0CN6XQ611";"BMP0009";"11";"";"355,8";"";"-99,15";"-99,15";"";"";"";"";"";"";"-";"";"-107,36";"-77,11";"-61,75";"";"10,43";"10,43";"149,29";"";"2,93";"13,53";"55 483";"27,87";"323";"3,41";"32,35"
"Northstar Estación de Acoplamiento de Madera para Teléfono con Cajón Organizador de Escritorio para Marido Regalos de Cumpleaños para Hombres Papá Regalo Padre Dia del Padre Regalos COG: 10,62 / Price: 41,8";"B0F2TDHQ83";"PPD006";"9";"";"349,2";"";"-91,49";"-91,49";"";"";"";"";"";"";"-";"";"-96,97";"-95,58";"-60,57";"";"4,59";"4,59";"160,74";"";"1,31";"4,80";"34 998";"26,20";"314";"2,87";"38,80"
"Northstar Soporte de Madera para Teléfono Móvil, Organizador de Mesita de Noche, Organizador de Escritorio para Marido, Regalos de Cumpleaños para Hombres Regalo Padre Dia del Padre Regalos COG: 5,5 / Price: 32,8";"B0DHH7P6QQ";"73-EFLH-T6DR";"9";"";"286,72";"";"";"";"";"";"";"";"";"";"-";"";"-78,67";"-49,5";"-50,20";"";"108,35";"108,35";"208,05";"";"37,79";"218,89";"359";"";"191";"4,71";"31,86"
"Northstar Soporte para armas Montaje en pared Exhibidores de sujeción Soporte horizontal para armas y ganchos de escopeta Almacene cualquier rifle Escopeta Madera dura COG: 4,48 / Price: 23,9";"B0B6WC5SST";"Y4-OT79-ACBA";"8";"";"184,25";"";"-5,18";"-5,18";"";"";"";"";"";"";"-";"";"-61,94";"-35,84";"-24,18";"-5,78";"51,33";"51,33";"111,35";"";"27,86";"143,22";"14 842";"2,81";"67";"11,94";"23,03"
"Northstar Estación de acoplamiento de madera para teléfono con cajón - Organizador de mesita de noche - Organizador de escritorio para marido - Regalos de cumpleaños para hombres, papá, aniversario COG: 9,51 / Price: 38,8";"B0DQQCZGLP";"PPD007";"7";"";"256,73";"";"-41,94";"-41,94";"";"";"";"";"";"";"-";"";"-65,23";"-66,57";"-45,08";"";"37,91";"37,91";"149,56";"";"14,77";"56,95";"384";"16,34";"176";"3,98";"36,68"
